followers,following,posts,bio_length,profile_pic,is_private,fake
6287,4252,249,24,1,1,0
8815,1477,12,153,0,0,0
9208,570,54,23,0,0,0
2049,4952,343,96,0,1,0
5423,1727,84,38,1,1,0
4548,591,108,108,1,1,0
3108,4516,42,60,0,1,0
7158,2260,387,176,0,0,0
7400,2947,70,168,1,0,0
3170,347,443,197,1,0,0
9874,165,267,19,0,1,0
2255,4443,58,171,0,1,0
1154,2896,460,15,0,0,0
4499,4493,437,148,1,1,0
6295,582,43,14,0,1,0
6197,3506,271,166,1,1,0
9888,4403,389,41,1,0,0
1648,3038,13,188,0,0,0
5539,2845,370,3,1,1,0
9637,2766,111,151,0,0,0
4199,4194,378,130,0,0,0
8445,1265,313,113,1,0,0
2557,4253,414,128,0,0,0
5592,4649,227,140,1,0,0
98,4746,484,53,1,1,1
2200,2967,168,81,0,0,0
2961,2274,375,39,1,1,0
4973,2470,290,126,1,1,0
4433,2290,245,138,0,0,0
2869,2577,265,41,1,0,0
956,3660,336,92,0,0,0
8352,1068,242,3,0,0,0
5699,2736,489,24,1,1,0
6944,4829,157,99,1,1,0
4493,1950,299,163,0,1,0
9492,91,438,191,1,0,0
4911,3093,326,124,0,1,0
3987,2219,17,171,1,1,0
9719,1387,82,39,0,0,0
6015,4274,334,91,0,0,0
1218,2285,230,172,1,0,0
4496,3206,491,135,1,1,0
4735,2924,341,84,1,0,0
4555,279,252,34,0,1,0
9146,1618,166,171,0,0,0
8050,2787,41,145,1,1,0
3446,370,248,46,1,1,0
1045,3183,247,152,0,0,0
6893,3834,437,168,1,1,0
1693,1703,379,4,1,0,0
3436,2268,285,191,0,0,0
8754,303,19,189,1,0,0
5895,3774,381,124,0,1,0
3354,1348,351,110,0,1,0
225,2422,380,71,1,1,0
4893,3628,41,86,1,0,0
7022,2428,344,2,1,1,0
9151,3033,86,164,0,1,0
5600,668,260,92,0,0,0
7996,499,305,40,0,0,0
9007,1414,296,147,1,0,0
7683,529,349,194,0,0,0
4642,3621,239,86,0,0,0
7679,3456,166,167,0,0,0
8208,754,312,84,1,0,0
7339,2347,218,135,0,1,0
9435,4910,440,132,1,0,0
2205,726,489,24,1,0,0
1069,4826,420,38,0,0,0
3444,4923,390,164,0,0,0
1060,2649,132,124,0,0,0
2327,2046,206,104,1,1,0
3420,2815,50,4,1,0,0
301,874,105,135,1,1,0
606,3279,391,3,1,1,0
3170,2984,183,168,0,0,0
699,2178,200,59,0,0,0
5088,3807,10,53,1,0,0
9331,607,253,149,1,1,0
190,634,149,77,1,0,0
980,4579,353,18,1,1,0
2975,2727,354,98,1,1,0
6102,1074,460,67,1,0,0
1184,1914,394,32,1,0,0
3327,588,443,149,1,1,0
3394,3231,95,192,0,1,0
8319,2304,105,138,0,0,0
1816,3838,142,15,1,0,0
5854,1973,165,195,0,1,0
6709,2055,0,126,0,1,0
569,3480,45,92,0,0,0
5442,2079,241,43,1,1,0
1895,3052,343,8,1,0,0
2733,4482,426,199,1,0,0
3863,1251,487,77,0,0,0
7455,3795,277,78,1,1,0
4014,3822,2,189,0,1,0
1686,4302,141,85,1,1,0
3009,3389,385,14,1,0,0
7806,1780,60,5,0,0,0
154,2604,415,0,1,0,0
1409,3688,495,19,0,1,0
784,4888,293,163,1,0,0
8096,1724,224,129,1,0,0
7560,2784,301,69,1,0,0
7343,3719,169,1,0,1,0
7206,1677,133,130,1,1,0
5596,448,40,6,0,1,0
5801,4687,230,83,0,1,0
2806,81,408,191,0,1,0
537,1406,225,168,1,1,0
5986,1480,138,53,1,1,0
1841,1079,109,40,1,0,0
8716,3598,484,114,1,0,0
6971,4514,296,132,1,0,0
5625,4183,454,101,0,0,0
2950,3680,56,81,0,1,0
7992,2703,429,62,0,1,0
4780,4310,122,0,0,0,0
2368,3756,239,24,0,0,0
6655,1758,85,173,0,1,0
8173,2599,175,142,1,1,0
4495,2550,62,196,0,1,0
9163,3853,38,144,0,0,0
6002,2746,137,148,0,1,0
6614,2292,468,180,0,0,0
9358,1501,453,54,1,1,0
5919,4404,240,106,0,1,0
853,230,448,137,1,0,0
4146,4250,225,184,1,1,0
3769,1198,442,64,0,0,0
574,114,205,36,0,1,0
1148,1413,163,111,1,1,0
6293,4406,26,6,0,0,0
6457,992,456,75,0,1,0
7509,2347,182,39,0,1,0
9907,1041,197,177,1,1,0
4777,11,478,0,0,1,0
3854,3676,336,147,1,1,0
2491,4825,436,107,1,1,0
3124,3065,106,158,1,1,0
5691,2036,443,67,0,1,0
3051,3046,188,11,1,1,0
4,2350,35,149,0,0,1
5222,540,84,128,1,1,0
5315,2860,154,125,0,1,0
4869,76,168,0,0,1,0
876,3067,283,130,1,0,0
9183,23,271,116,1,0,0
7027,675,34,148,1,0,0
4142,2394,419,12,0,0,0
6966,4267,183,188,0,0,0
7079,3398,98,140,0,0,0
7987,2759,236,104,1,1,0
6799,488,402,160,0,0,0
4465,1485,440,133,0,1,0
635,3659,468,24,0,1,0
1693,3235,121,150,1,1,0
9874,2419,416,87,1,0,0
4752,3495,22,100,0,1,0
8311,756,374,25,1,1,0
830,2524,62,131,1,0,0
5177,4250,325,101,1,0,0
9561,256,479,162,1,1,0
8932,1779,149,99,1,0,0
8308,4769,194,24,1,0,0
5949,2115,482,147,1,1,0
2838,3348,79,0,1,1,0
1150,4768,489,93,1,1,0
7560,1472,314,67,0,1,0
1931,258,152,22,0,1,0
9204,4075,16,105,1,1,0
1664,306,38,149,1,1,0
1081,1118,332,94,1,1,0
512,3017,347,61,1,0,0
7805,4341,458,128,0,0,0
5237,2780,201,186,1,0,0
559,1658,422,67,0,0,0
3672,186,279,146,0,0,0
7404,1797,421,29,0,1,0
3343,924,87,128,0,0,0
4070,784,480,47,0,0,0
9662,3444,464,18,0,1,0
580,3196,440,126,1,0,0
7004,1360,299,179,1,1,0
8130,340,291,149,0,0,0
3147,562,354,49,1,0,0
4249,4746,69,193,0,1,0
1679,2999,377,133,1,0,0
3506,1193,123,191,0,0,0
7253,3110,79,148,0,0,0
2744,68,44,146,1,1,0
9435,2428,475,164,0,1,0
5188,3598,232,62,1,1,0
2141,2372,479,156,0,1,0
6617,4556,153,187,1,1,0
2479,843,394,161,1,0,0
6484,573,179,128,1,0,0
9827,4214,408,47,1,1,0
7421,2596,30,88,1,1,0
9949,4741,84,126,0,0,0
4452,1478,44,148,0,1,0
5881,2073,370,161,1,0,0
6665,1513,322,153,0,1,0
2849,968,331,35,0,1,0
7390,2196,242,150,1,0,0
6905,1511,39,80,1,0,0
2489,654,429,46,0,1,0
9823,2992,181,171,1,1,0
9207,4650,296,147,1,0,0
9540,4520,472,26,1,0,0
4611,292,375,188,0,1,0
2839,2601,80,164,1,0,0
8527,4526,37,51,0,1,0
5878,4412,355,74,1,1,0
9087,4493,419,91,0,1,0
6303,1588,466,61,1,1,0
851,595,427,65,1,1,0
1687,2593,56,151,1,1,0
6833,2123,321,79,0,1,0
2427,1943,464,139,0,0,0
9760,915,29,143,0,0,0
4000,3869,494,163,0,1,0
5052,2794,265,129,1,0,0
2738,3078,226,189,1,1,0
5732,975,316,63,0,1,0
5387,1075,446,28,0,0,0
8002,2989,499,86,0,0,0
5536,3467,291,95,0,1,0
3913,1451,53,30,0,0,0
1066,3823,96,82,0,1,0
7723,3932,448,142,1,0,0
4380,2028,465,182,0,1,0
4107,362,3,32,0,1,0
5726,2429,438,179,0,1,0
3373,3632,309,99,1,0,0
8945,2318,366,147,0,1,0
2082,3085,90,72,1,1,0
8967,2345,88,165,1,0,0
6748,3598,319,130,0,0,0
9817,4329,374,181,1,1,0
417,1731,91,193,0,0,0
8306,26,149,17,1,1,0
8808,92,233,125,0,1,0
3974,2664,408,6,0,1,0
3267,308,336,162,1,0,0
825,51,58,123,0,0,0
7668,318,184,113,0,0,0
5745,1992,437,83,1,1,0
9708,4276,43,83,1,1,0
412,3891,179,82,0,1,0
7543,4742,75,104,1,0,0
7587,3956,143,101,0,0,0
728,2692,100,92,1,1,0
7164,3018,380,59,1,0,0
8867,2024,271,101,1,0,0
5988,4431,464,23,0,0,0
2504,1525,54,108,0,0,0
2967,1278,188,166,0,1,0
2786,513,350,139,0,1,0
1122,4337,334,93,0,1,0
4079,1733,76,180,1,0,0
1571,3370,295,63,0,0,0
5073,3921,218,3,1,0,0
5104,2500,276,93,1,1,0
2143,3464,65,132,1,0,0
9879,2259,135,15,0,1,0
6806,4763,233,26,1,1,0
7357,4689,198,131,0,1,0
3440,2659,265,71,0,0,0
3766,255,440,47,0,1,0
5644,1502,387,135,0,1,0
2914,4656,42,80,1,0,0
4968,2110,360,173,0,1,0
5917,406,227,43,1,0,0
8787,2849,226,194,1,1,0
728,3176,62,51,0,0,0
1365,1860,170,33,1,1,0
4492,4354,450,189,1,1,0
698,722,249,20,1,1,0
7186,1282,337,23,0,0,0
395,613,249,43,1,0,0
7400,3331,306,113,0,0,0
8082,3116,237,168,0,1,0
4171,1978,55,156,0,0,0
4360,812,170,102,0,0,0
2502,1786,407,133,1,0,0
717,330,479,55,1,0,0
2782,2212,33,13,1,1,0
4946,1216,314,177,0,1,0
5486,4482,129,100,1,1,0
8335,3337,129,179,0,1,0
4980,2375,393,0,1,1,0
7266,1240,150,11,0,1,0
4491,319,142,114,0,0,0
7192,4494,117,105,0,1,0
5588,1914,203,151,0,0,0
7651,4200,383,36,1,1,0
3636,4791,234,197,0,0,0
1167,329,16,2,1,1,0
1062,659,81,154,1,1,0
2156,3688,13,52,1,1,0
7860,3118,80,99,0,1,0
5161,4916,206,16,0,0,0
5305,1972,203,112,0,0,0
6541,1793,378,109,1,1,0
4729,3218,271,142,0,1,0
9348,4557,31,166,0,0,0
7330,2533,22,3,1,1,0
5334,2457,101,144,0,1,0
8924,3100,161,138,1,0,0
4330,4366,97,11,1,0,0
8010,2733,143,31,1,0,0
6801,4480,417,154,0,0,0
4846,4155,103,171,0,1,0
6731,219,381,42,1,1,0
7241,2818,454,176,1,1,0
953,1906,416,103,0,1,0
2539,2611,323,92,0,0,0
7056,2593,170,42,1,1,0
1542,95,63,130,1,1,0
5293,988,243,156,1,0,0
1191,1112,70,84,0,1,0
6313,2278,273,34,1,0,0
6938,245,451,116,0,0,0
2681,2158,368,175,1,0,0
9409,4329,124,166,0,0,0
1540,3349,382,151,1,0,0
6172,2725,316,19,0,1,0
5541,4077,330,142,0,1,0
9580,4898,106,84,0,1,0
1365,2666,147,116,0,0,0
8691,3199,394,105,0,0,0
9872,2754,462,145,0,1,0
8702,1417,429,187,1,0,0
7494,654,191,104,1,0,0
4312,2442,336,92,1,0,0
1324,110,225,40,0,1,0
9347,89,241,99,0,0,0
3141,762,495,68,1,0,0
7419,3172,459,105,0,0,0
3486,2179,361,138,0,1,0
1810,2504,283,183,1,0,0
6588,1464,431,145,1,1,0
2923,97,162,139,1,0,0
5301,292,7,143,1,0,0
4186,1839,346,26,1,1,0
8905,1734,405,99,1,1,0
5977,2619,376,144,1,1,0
4268,4747,151,84,0,0,0
4748,2196,321,118,0,1,0
4849,3466,94,30,0,1,0
9435,1906,213,108,0,1,0
3709,1721,63,162,1,0,0
9273,3691,64,26,0,1,0
6619,1816,380,86,0,0,0
8647,252,269,159,0,0,0
9086,4227,24,16,0,0,0
9576,3519,483,10,1,1,0
3072,1907,99,128,0,1,0
6530,1910,104,81,1,1,0
504,2521,130,48,1,1,0
1214,3849,388,40,0,0,0
1531,1058,320,19,1,1,0
7576,3538,437,70,0,1,0
823,2322,18,36,1,0,0
928,186,224,125,1,1,0
5029,948,105,143,1,0,0
133,2290,53,38,0,0,0
2105,4359,477,108,0,1,0
3627,4617,459,172,0,0,0
6316,4878,393,63,0,0,0
1852,4630,225,174,1,0,0
4910,209,399,22,0,1,0
4175,2093,359,31,1,1,0
5348,3538,429,176,1,1,0
9442,1563,412,122,1,0,0
6190,25,14,18,1,1,0
1256,174,47,105,1,1,0
3376,1334,138,66,1,0,0
5645,321,491,166,1,1,0
3486,4150,33,88,1,1,0
3584,4047,419,59,1,0,0
9588,3227,413,10,1,1,0
8053,1872,354,48,1,0,0
3330,2067,456,142,0,1,0
2703,332,209,127,1,1,0
8662,2991,18,60,0,1,0
8120,910,486,170,0,0,0
7114,4496,195,142,1,1,0
1353,949,325,4,1,1,0
5063,2075,114,28,1,0,0
8549,2514,416,189,1,1,0
7575,3331,351,187,0,0,0
667,3029,463,68,0,1,0
4468,100,74,149,1,1,0
9337,4646,149,12,0,1,0
6819,2400,35,177,1,1,0
3719,3371,241,115,1,1,0
2745,2343,150,174,1,1,0
7483,352,62,109,0,0,0
539,2955,153,156,0,1,0
4964,1018,187,79,0,0,0
4835,1179,222,99,1,1,0
3775,3536,92,16,0,0,0
6042,3650,4,147,1,0,0
7102,2502,437,113,1,0,0
7312,3819,165,5,0,1,0
5320,979,445,21,1,1,0
6132,4834,24,136,1,0,0
7891,976,97,159,1,0,0
2779,1371,267,87,1,0,0
924,2280,149,32,0,0,0
1581,4576,392,69,1,0,0
7714,107,251,48,1,0,0
3324,972,83,103,1,1,0
5713,1626,284,157,0,1,0
7026,703,171,101,1,0,0
255,874,220,143,1,1,0
4804,3809,108,192,0,0,0
1838,2411,26,105,1,0,0
9,2107,245,81,0,1,1
2871,3553,54,85,1,0,0
8989,1273,464,13,0,1,0
7409,559,132,183,1,0,0
7418,116,51,164,0,0,0
5124,4969,492,48,0,1,0
1015,3046,252,49,1,1,0
2193,43,268,163,1,1,0
8415,508,297,179,0,0,0
7449,3439,398,22,1,1,0
4158,3928,78,65,1,0,0
3925,4944,17,198,0,0,0
6970,916,305,172,0,1,0
6938,2945,257,114,1,0,0
4784,798,342,27,1,1,0
4000,4971,106,19,1,1,0
1633,1760,396,176,1,0,0
7266,2333,490,184,0,0,0
8702,3275,451,120,0,1,0
384,818,46,96,0,1,0
404,2168,245,186,0,0,0
8175,3735,88,118,1,1,0
2000,3065,202,108,0,0,0
9860,3259,433,25,0,0,0
5989,906,239,146,1,1,0
1460,4108,489,105,1,0,0
7190,602,267,140,0,1,0
7140,4295,12,61,1,1,0
3636,2633,136,125,0,0,0
4809,1791,314,141,1,0,0
4178,3527,172,138,1,0,0
7245,4543,229,66,0,1,0
6600,1811,197,11,1,1,0
5997,3911,490,34,0,1,0
2048,840,242,109,0,1,0
4780,3142,42,166,0,1,0
716,4685,329,159,1,1,0
7939,2090,278,13,0,0,0
5565,4615,78,192,0,0,0
4544,1036,428,154,0,0,0
4976,724,278,100,0,1,0
3419,987,231,59,0,0,0
7239,802,100,42,0,1,0
9766,2582,161,192,1,0,0
249,3837,143,54,0,0,0
8865,526,446,108,1,0,0
770,1665,108,92,1,0,0
4363,1138,434,162,0,1,0
1077,459,232,94,1,1,0
8427,2552,110,159,1,0,0
8580,4420,415,146,0,0,0
7901,4674,421,94,1,1,0
4858,2808,231,166,0,1,0
6544,2898,439,147,1,0,0
4719,3243,237,27,0,0,0
2814,4068,196,2,1,0,0
3374,2331,272,159,0,0,0
1252,4570,85,85,0,0,0
6996,3685,294,107,1,0,0
4673,631,40,185,0,1,0
4530,4798,47,181,0,1,0
6881,2456,465,169,1,1,0
6949,981,411,116,0,1,0
9521,4654,76,107,0,0,0
6241,4317,177,14,1,1,0
8017,1556,489,61,1,1,0
6941,2205,256,30,1,1,0
9550,4443,116,188,1,0,0
7002,4984,433,25,1,0,0
1331,3955,18,196,1,0,0
4261,921,481,184,0,1,0
7648,404,58,147,1,1,0
9550,4772,195,65,1,0,0
5115,4684,106,148,1,0,0
4637,1620,450,114,0,1,0
4854,2952,424,59,0,0,0
3177,3118,393,62,0,0,0
7730,1594,283,178,1,1,0
2180,565,33,100,0,1,0
4892,4799,294,166,0,1,0
7043,2868,494,99,0,0,0
137,857,250,138,0,1,0
6327,1284,125,118,1,1,0
3472,584,338,56,1,0,0
5449,4327,105,130,1,0,0
2832,1245,439,36,1,0,0
3579,51,179,110,1,1,0
5971,2163,109,152,1,1,0
4164,537,227,148,0,0,0
7941,540,120,111,1,1,0
5569,814,106,169,1,1,0
4300,1415,130,0,1,1,0
6269,2838,22,22,1,1,0
3818,1652,144,106,1,0,0
1906,2665,326,112,0,1,0
6254,4514,153,151,0,1,0
760,4062,106,174,0,1,0
7830,2356,145,88,0,0,0
7350,3810,251,134,0,1,0
6238,863,493,37,1,1,0
6090,185,301,46,0,1,0
6031,4356,69,102,0,0,0
7687,1551,30,162,1,1,0
9091,2207,92,61,0,0,0
9911,761,136,72,0,1,0
8472,4319,373,2,1,0,0
1887,1279,162,101,1,0,0
3266,4275,80,147,1,1,0
666,4727,315,104,0,1,0
4188,3694,75,43,0,0,0
671,3281,62,159,0,0,0
6777,1536,99,99,1,1,0
7570,3164,435,25,0,1,0
7956,2770,47,47,0,1,0
5124,1963,444,4,0,1,0
5585,3845,407,58,0,1,0
4777,3435,73,60,1,1,0
3900,4710,313,48,1,1,0
6677,561,191,157,1,0,0
6981,2421,29,144,1,0,0
6376,4717,156,69,0,1,0
523,2135,486,185,1,1,0
2393,2061,265,190,0,1,0
2593,2180,255,188,1,0,0
9945,1960,38,190,1,0,0
7240,3879,54,14,0,1,0
6937,3279,27,0,0,1,0
6190,3884,401,140,1,0,0
5240,3270,424,175,0,0,0
6493,4687,117,127,1,0,0
2878,582,369,161,0,1,0
4143,1613,208,124,1,1,0
3644,1101,74,157,1,0,0
4432,288,64,18,1,1,0
1276,3859,336,118,1,1,0
5811,3060,355,63,0,1,0
302,2926,99,65,0,0,0
638,4102,45,56,1,0,0
55,1183,315,43,1,0,1
8717,4335,392,11,1,1,0
8150,1446,428,121,0,1,0
2125,1749,443,167,1,0,0
364,1903,155,23,0,1,0
6809,3175,239,138,0,0,0
4621,1077,352,193,1,1,0
5126,2377,258,0,0,1,0
5122,847,434,185,1,1,0
1646,2876,135,27,1,1,0
918,1239,369,67,0,1,0
2797,1332,197,104,0,0,0
6506,3506,186,93,1,0,0
5870,2379,115,123,0,1,0
1531,4791,444,186,0,0,0
8172,4122,57,198,0,1,0
3345,3237,69,123,1,1,0
7673,2365,92,21,1,1,0
6949,2412,228,156,0,0,0
6882,3174,395,88,1,1,0
1906,372,136,196,1,1,0
3086,1949,104,44,0,0,0
8152,244,304,197,0,1,0
5750,1840,338,123,0,0,0
8905,3427,16,144,1,0,0
1062,124,53,78,1,0,0
1976,4632,111,38,0,0,0
1296,2753,171,167,1,0,0
6229,1919,415,27,1,0,0
7641,1635,418,129,1,0,0
125,1425,461,154,0,1,0
4632,1540,304,148,1,1,0
6288,530,437,86,1,1,0
3596,4349,143,134,0,1,0
6168,3103,84,188,1,1,0
9795,4756,11,51,1,1,0
7561,1801,251,175,0,1,0
8258,1036,215,125,1,1,0
232,3728,125,146,0,0,0
9361,4011,97,72,1,1,0
6371,3463,391,139,1,1,0
4206,1142,491,93,0,0,0
9685,1755,404,198,0,0,0
7943,4840,303,1,0,0,0
6891,1629,391,16,1,1,0
6738,762,27,124,1,0,0
2472,4889,335,130,0,0,0
2739,4839,265,20,0,0,0
5401,3957,51,77,0,0,0
1761,557,142,78,1,1,0
876,4621,131,50,1,0,0
3812,839,345,105,0,1,0
9504,2,206,104,1,0,0
1460,1051,483,9,1,0,0
1733,1404,479,115,1,0,0
1605,156,61,54,0,1,0
5622,1937,362,35,1,0,0
6767,510,485,50,0,1,0
6986,3404,131,73,0,0,0
3517,4782,40,16,0,1,0
3735,1137,200,60,0,1,0
9352,3914,98,90,0,0,0
8434,3321,310,140,0,0,0
2590,4666,283,192,1,0,0
1063,714,356,94,0,1,0
4324,2286,46,79,1,0,0
9111,2654,136,102,1,1,0
5342,990,129,47,1,1,0
5,4429,194,85,1,1,1
7489,2160,116,69,0,1,0
8659,4457,363,46,1,1,0
8195,2144,431,9,0,1,0
5966,2063,68,184,0,1,0
8837,2603,457,79,1,0,0
117,1977,27,12,0,0,0
2551,375,334,188,1,1,0
5560,741,13,57,0,0,0
4289,4485,45,83,0,0,0
846,2667,470,67,0,1,0
6316,1240,396,83,1,0,0
6469,3470,15,85,1,1,0
9333,4919,477,156,0,1,0
8915,2367,423,143,0,0,0
224,2243,455,62,1,1,0
4208,3549,208,174,0,1,0
6283,417,157,42,1,0,0
2048,606,336,150,1,0,0
6233,567,226,157,1,1,0
9765,543,448,184,1,0,0
1828,883,240,29,0,1,0
1917,4798,57,66,1,0,0
4234,1223,471,183,1,0,0
6988,2893,303,23,1,0,0
2026,2068,304,100,1,1,0
3744,3709,344,105,0,0,0
